full_address,lat,lon
521 Ang Mo Kio Ave 5,1.373532,103.851676
620 Ang Mo Kio Ave 9,1.3824856,103.8395144
259 Ang Mo Kio Ave 2,1.3685541,103.8315806
253 Ang Mo Kio St 21,1.3697648,103.8345326
317 Ang Mo Kio St 31,1.3656625,103.8469421
306 Ang Mo Kio Ave 1,1.3656612,103.8458882
104A Ang Mo Kio St 11,1.3714733,103.8391162
620 Bedok Reservoir Rd,1.3339841,103.9182508
618 Bedok Reservoir Rd,1.3330764,103.9170273
74 Bedok Nth Rd,1.3274812,103.9420891
76 Bedok Nth Rd,1.3283586,103.9421798
77 Bedok Nth Rd,1.3287254,103.9419985
501 Bedok Nth St 3,1.331615,103.9311056
534 Bedok Nth St 3,1.333142,103.9246859
617 Bedok Reservoir Rd,1.3331891,103.9165289
3 Bedok Sth Ave 1,1.3219076,103.9331111
2 Bedok Sth Ave 1,1.3213137,103.9333467
18 Bedok Sth Rd,1.3205036,103.9347465
36 Chai Chee Ave,1.3252727,103.9253656
32 Chai Chee Ave,1.3237706,103.9249492
40 Chai Chee Ave,1.3261076,103.9264986
37 Chai Chee Ave,1.3254507,103.9262267
27 New Upp Changi Rd,1.3241599,103.9349227
57 New Upp Changi Rd,1.3241216,103.9416303
55 Chai Chee Dr,1.3271729,103.9193384
59 Chai Chee Rd,1.3248997,103.9202448
2 Chai Chee Rd,1.3269352,103.9225106
423 Bedok Nth Ave 1,1.3280035,103.9275863
522 Bedok Nth Ave 1,1.3306412,103.9269518
548 Bedok Nth Ave 1,1.3313002,103.9268611
418 Bedok Nth Ave 2,1.3283185,103.9300788
515 Bedok Nth Ave 2,1.3320873,103.9299429
402 Bedok Nth Ave 3,1.3305299,103.9335685
401 Bedok Nth Ave 3,1.3309326,103.9335232
102 Bedok Nth Ave 4,1.3338732,103.9374662
105 Bedok Nth Ave 4,1.3336952,103.936605
92 Bedok Nth Ave 4,1.332461,103.9412733
108 Bedok Nth Rd,1.3327098,103.9361971
107 Bedok Nth Rd,1.3324161,103.9363784
110 Bedok Nth Rd,1.332489,103.9346499
109 Bedok Nth Rd,1.3320701,103.9348777
116 Bedok Nth Rd,1.3309428,103.9381007
420 Bedok Nth St 1,1.3277041,103.9287646
419 Bedok Nth St 1,1.326903,103.9281301
202 Bedok Nth St 1,1.3256603,103.9279488
201 Bedok Nth St 1,1.3260977,103.9282207
213 Bedok Nth St 1,1.3260006,103.9325088
217 Bedok Nth St 1,1.3268697,103.9339311
134 Bedok Nth St 2,1.3283172,103.9366504
138 Bedok Nth St 2,1.3297831,103.9361971
529 Bedok Nth St 3,1.3342292,103.9264986
530 Bedok Nth St 3,1.3337144,103.9269518
509 Bedok Nth St 3,1.3337424,103.931235
526 Bedok Nth St 3,1.334214,103.9291271
