full_address,lat,lon
103 WOODLANDS ST 13,1.4366008,103.7810126
103 YISHUN RING RD,1.4319016,103.8289483
103A DEPOT RD,1.2809284,103.8130871
103A EDGEFIELD PLAINS,1.3982917,103.904838
103B DEPOT RD,1.2808119,103.8130737
103B EDGEFIELD PLAINS,1.3978525,103.9047474
103C EDGEFIELD PLAINS,1.3974138,103.9045661
104 ALJUNIED CRES,1.3200997,103.88277
104 BEDOK NTH AVE 4,1.3332562,103.936605
104 BEDOK RESERVOIR RD,1.3292763,103.9098223
104 BISHAN ST 12,1.345674,103.848026
104 BT BATOK CTRL,1.348997,103.7472936
104 BT PURMEI RD,1.2724898,103.8257478
104 CLEMENTI ST 14,1.3229784,103.7692429
104 GANGSA RD,1.378851,103.767855
104 HENDERSON CRES,1.2894146,103.8214223
104 HOUGANG AVE 1,1.354793,103.890305
104 JLN DUSUN,1.3285514,103.8446805
104 JLN RAJAH,1.327917,103.8532832
104 JURONG EAST ST 13,1.3366371,103.7376509
104 LENGKONG TIGA,1.3259105,103.9098223
104 PASIR RIS ST 12,1.3678583,103.9588599
104 POTONG PASIR AVE 1,1.3343451,103.8692235
104 RIVERVALE WALK,1.382713,103.900848
104 SERANGOON NTH AVE 1,1.3705717,103.8710439
104 SPOTTISWOODE PK RD,1.2744804,103.8348949
104 TAMPINES ST 11,1.3472491,103.9465762
104 TECK WHYE LANE,1.3770603,103.752948
104 TOWNER RD,1.3198388,103.8608698
104 WHAMPOA DR,1.3209644,103.8533738
104 WOODLANDS ST 13,1.4364506,103.7815558
104A ANG MO KIO ST 11,1.3714733,103.8391162
104A DEPOT RD,1.2804498,103.8124403
104A EDGEFIELD PLAINS,1.396871,103.905393
104B ANG MO KIO ST 11,1.371487,103.8383977
104B DEPOT RD,1.280525,103.8120779
104B EDGEFIELD PLAINS,1.396493,103.905416
105 ALJUNIED CRES,1.3195167,103.8827712
105 ANG MO KIO AVE 4,1.3723838,103.8377028
105 BEDOK NTH AVE 4,1.3336952,103.936605
105 BEDOK RESERVOIR RD,1.3291336,103.909188
105 BISHAN ST 12,1.3458125,103.8473951
105 BT BATOK CTRL,1.3485949,103.7471578
105 BT PURMEI RD,1.2725678,103.8248421
105 CLEMENTI ST 12,1.322682,103.7698766
105 GANGSA RD,1.3782744,103.7677264
105 HENDERSON CRES,1.2901396,103.8225544
105 JLN RAJAH,1.3286387,103.8540088
105 JURONG EAST ST 13,1.3372922,103.7383752
105 LENGKONG TIGA,1.3256163,103.9100942
105 PASIR RIS ST 12,1.368527,103.9572281
105 POTONG PASIR AVE 1,1.3344885,103.8687748
105 RIVERVALE WALK,1.3821683,103.9007038
105 SERANGOON NTH AVE 1,1.3702143,103.8701338
105 SIMEI ST 1,1.3411909,103.9505387
105 TAMPINES ST 11,1.3480158,103.9468935
105 TECK WHYE LANE,1.3776457,103.753129
105 TOWNER RD,1.3205548,103.8610741
105 WOODLANDS ST 13,1.436891,103.7815558
105A EDGEFIELD PLAINS,1.3971031,103.9058262
105B EDGEFIELD PLAINS,1.397269,103.906206
105C EDGEFIELD PLAINS,1.397623,103.905595
105D EDGEFIELD PLAINS,1.397401,103.905293
106 ALJUNIED CRES,1.319113,103.8829083
106 ANG MO KIO AVE 4,1.3720185,103.8375217
106 BEDOK NTH AVE 4,1.334388,103.9370129
106 BEDOK RESERVOIR RD,1.3294979,103.9094598
106 BISHAN ST 12,1.3461032,103.8477574
106 BT BATOK CTRL,1.3481564,103.7469767
106 BT PURMEI RD,1.2730751,103.8256575
106 GANGSA RD,1.3779831,103.7674096
106 HENDERSON CRES,1.2896292,103.8222827
106 HOUGANG AVE 1,1.35398,103.8908827
106 JLN DUSUN,1.3285517,103.8446775
106 JLN RAJAH,1.3285642,103.854732
106 JURONG EAST ST 13,1.3372962,103.7376511
106 LENGKONG TIGA,1.3251052,103.909913
106 PASIR RIS ST 12,1.3679374,103.9578627
106 POTONG PASIR AVE 1,1.3341951,103.8680431
106 RIVERVALE WALK,1.382547,103.9003079
106 SERANGOON NTH AVE 1,1.370187,103.8710665
106 SIMEI ST 1,1.3418627,103.9509502
106 SPOTTISWOODE PK RD,1.2736078,103.8340797
106 TAMPINES ST 11,1.3475719,103.9477094
106 TECK WHYE LANE,1.3779405,103.7528575
106 TOWNER RD,1.3210859,103.8609608
106 WOODLANDS ST 13,1.4367398,103.7822802
106 YISHUN RING RD,1.431509,103.827332
106A DEPOT RD,1.2806767,103.8110816
106A PUNGGOL FIELD,1.3966937,103.9085083
106B DEPOT RD,1.2806786,103.8107192
106B PUNGGOL FIELD,1.3972472,103.9078606
106C PUNGGOL FIELD,1.397392,103.9075484
106D PUNGGOL FIELD,1.3976201,103.9072656
107 ALJUNIED CRES,1.3189217,103.8842226
107 ANG MO KIO AVE 4,1.371434,103.8372499
107 BEDOK NTH RD,1.3324161,103.9363784
107 BEDOK RESERVOIR RD,1.3298653,103.909188
107 BISHAN ST 12,1.3463946,103.8480291
107 BT BATOK WEST AVE 6,1.3477922,103.7466146
107 BT PURMEI RD,1.2732267,103.8246613
107 GANGSA RD,1.3782249,103.7667985
107 JLN BT MERAH,1.2799457,103.8247507
107 JLN RAJAH,1.3279799,103.855095
107 JURONG EAST ST 13,1.3377342,103.7379228
107 LOR 1 TOA PAYOH,1.3412736,103.8473045
107 PASIR RIS ST 12,1.3677199,103.9575001
107 POTONG PASIR AVE 1,1.3346386,103.8684039
107 RIVERVALE WALK,1.3830761,103.9003069
107 SERANGOON NTH AVE 1,1.3698481,103.8701338
107 SIMEI ST 1,1.3423571,103.9508822
107 TAMPINES ST 11,1.3483749,103.948072
107 TECK WHYE LANE,1.3779357,103.7536722
107 TOWNER RD,1.3198248,103.8599865
107 WOODLANDS ST 13,1.437327,103.7822802
107 YISHUN RING RD,1.4327912,103.827649
107A EDGEFIELD PLAINS,1.3973701,103.9069138
107B EDGEFIELD PLAINS,1.3968255,103.9072085
107C EDGEFIELD PLAINS,1.3968849,103.9071942
107D EDGEFIELD PLAINS,1.3963545,103.9078834
108 ALJUNIED CRES,1.319098,103.8852646
108 ANG MO KIO AVE 4,1.3709152,103.8382463
108 BEDOK NTH RD,1.3327098,103.9361971
108 BEDOK RESERVOIR RD,1.3302301,103.9093692
108 BISHAN ST 12,1.3469108,103.8473951
108 BT BATOK WEST AVE 6,1.347426,103.7466144
108 BT PURMEI RD,1.2734415,103.8254768
108 C'WEALTH CRES,1.3076609,103.7991219
108 GANGSA RD,1.3776359,103.7672512
108 HOUGANG AVE 1,1.3528142,103.889886
108 JLN BT MERAH,1.2792074,103.8256648
108 JLN RAJAH,1.3281968,103.8555479
108 JURONG EAST ST 13,1.3382997,103.737085
108 LENGKONG TIGA,1.324812,103.9100036
108 LOR 1 TOA PAYOH,1.3415664,103.8473045
108 MCNAIR RD,1.3219533,103.8596246
108 PASIR RIS ST 12,1.3674286,103.9572281
108 POTONG PASIR AVE 1,1.3350245,103.8678461
108 RIVERVALE WALK,1.3828062,103.8998636
108 SERANGOON NTH AVE 1,1.3698399,103.8709533
